👨,man,👨🏻,👨🏻,👨🏼,👨🏻,👨🏼,👨🏽,👨🏻,👨🏼,👨🏽,👨🏾,👨🏻,👨🏼,👨🏽,👨🏾,👨🏿,👨🏻
👩,woman,🧔‍♀️,🧔🏻‍♀️,🧔🏼‍♀️,🧔🏽‍♀️,🧔🏾‍♀️,🧔🏿‍♀️,🧔‍♀️,🧔🏻‍♀️,🧔🏼‍♀️,🧔🏽‍♀️,🧔🏾‍♀️,🧔🏿‍♀️,👩🏻,🧔‍♀️,🧔🏻‍♀️
🧓,older person,🧓🏻,🧓🏻,🧓🏼,🧓🏻,🧓🏼,🧓🏽,🧓🏻,🧓🏼,🧓🏽,🧓🏾,🧓🏻,🧓🏼,🧓🏽,🧓🏾,🧓🏿
👴,old man,👴🏻,👴🏻,👴🏼,👴🏻,👴🏼,👴🏽,👴🏻,👴🏼,👴🏽,👴🏾,👴🏻,👴🏼,👴🏽,👴🏾,👴🏿
👵,old woman,👵🏻,👵🏻,👵🏼,👵🏻,👵🏼,👵🏽,👵🏻,👵🏼,👵🏽,👵🏾,👵🏻,👵🏼,👵🏽,👵🏾,👵🏿
🙍,person frowning,🙍🏻,🙍🏻,🙍🏼,🙍🏻,🙍🏼,🙍🏽,🙍🏻,🙍🏼,🙍🏽,🙍🏾,🙍🏻,🙍🏼,🙍🏽,🙍🏾,🙍🏿
🙍‍♂️,man frowning,🙍🏻‍♂️,🙍🏻‍♂️,🙍🏼‍♂️,🙍🏻‍♂️,🙍🏼‍♂️,🙍🏽‍♂️,🙍🏻‍♂️,🙍🏼‍♂️,🙍🏽‍♂️,🙍🏾‍♂️,🙍🏻‍♂️,🙍🏼‍♂️,🙍🏽‍♂️,🙍🏾‍♂️,🙍🏿‍♂️
🙍‍♀️,woman frowning,🙍🏻‍♀️,🙍🏻‍♀️,🙍🏼‍♀️,🙍🏻‍♀️,🙍🏼‍♀️,🙍🏽‍♀️,🙍🏻‍♀️,🙍🏼‍♀️,🙍🏽‍♀️,🙍🏾‍♀️,🙍🏻‍♀️,🙍🏼‍♀️,🙍🏽‍♀️,🙍🏾‍♀️,🙍🏿‍♀️
🙎,person pouting,🙎🏻,🙎🏻,🙎🏼,🙎🏻,🙎🏼,🙎🏽,🙎🏻,🙎🏼,🙎🏽,🙎🏾,🙎🏻,🙎🏼,🙎🏽,🙎🏾,🙎🏿
🙎‍♂️,man pouting,🙎🏻‍♂️,🙎🏻‍♂️,🙎🏼‍♂️,🙎🏻‍♂️,🙎🏼‍♂️,🙎🏽‍♂️,🙎🏻‍♂️,🙎🏼‍♂️,🙎🏽‍♂️,🙎🏾‍♂️,🙎🏻‍♂️,🙎🏼‍♂️,🙎🏽‍♂️,🙎🏾‍♂️,🙎🏿‍♂️
🙎‍♀️,woman pouting,🙎🏻‍♀️,🙎🏻‍♀️,🙎🏼‍♀️,🙎🏻‍♀️,🙎🏼‍♀️,🙎🏽‍♀️,🙎🏻‍♀️,🙎🏼‍♀️,🙎🏽‍♀️,🙎🏾‍♀️,🙎🏻‍♀️,🙎🏼‍♀️,🙎🏽‍♀️,🙎🏾‍♀️,🙎🏿‍♀️
🙅,person gesturing NO,🙅🏻,🙅🏻,🙅🏼,🙅🏻,🙅🏼,🙅🏽,🙅🏻,🙅🏼,🙅🏽,🙅🏾,🙅🏻,🙅🏼,🙅🏽,🙅🏾,🙅🏿
🙅‍♂️,man gesturing NO,🙅🏻‍♂️,🙅🏻‍♂️,🙅🏼‍♂️,🙅🏻‍♂️,🙅🏼‍♂️,🙅🏽‍♂️,🙅🏻‍♂️,🙅🏼‍♂️,🙅🏽‍♂️,🙅🏾‍♂️,🙅🏻‍♂️,🙅🏼‍♂️,🙅🏽‍♂️,🙅🏾‍♂️,🙅🏿‍♂️
🙅‍♀️,woman gesturing NO,🙅🏻‍♀️,🙅🏻‍♀️,🙅🏼‍♀️,🙅🏻‍♀️,🙅🏼‍♀️,🙅🏽‍♀️,🙅🏻‍♀️,🙅🏼‍♀️,🙅🏽‍♀️,🙅🏾‍♀️,🙅🏻‍♀️,🙅🏼‍♀️,🙅🏽‍♀️,🙅🏾‍♀️,🙅🏿‍♀️
🙆,person gesturing OK,🙆🏻,🙆🏻,🙆🏼,🙆🏻,🙆🏼,🙆🏽,🙆🏻,🙆🏼,🙆🏽,🙆🏾,🙆🏻,🙆🏼,🙆🏽,🙆🏾,🙆🏿
🙆‍♂️,man gesturing OK,🙆🏻‍♂️,🙆🏻‍♂️,🙆🏼‍♂️,🙆🏻‍♂️,🙆🏼‍♂️,🙆🏽‍♂️,🙆🏻‍♂️,🙆🏼‍♂️,🙆🏽‍♂️,🙆🏾‍♂️,🙆🏻‍♂️,🙆🏼‍♂️,🙆🏽‍♂️,🙆🏾‍♂️,🙆🏿‍♂️
🙆‍♀️,woman gesturing OK,🙆🏻‍♀️,🙆🏻‍♀️,🙆🏼‍♀️,🙆🏻‍♀️,🙆🏼‍♀️,🙆🏽‍♀️,🙆🏻‍♀️,🙆🏼‍♀️,🙆🏽‍♀️,🙆🏾‍♀️,🙆🏻‍♀️,🙆🏼‍♀️,🙆🏽‍♀️,🙆🏾‍♀️,🙆🏿‍♀️
💁,person tipping hand,💁🏻,💁🏻,💁🏼,💁🏻,💁🏼,💁🏽,💁🏻,💁🏼,💁🏽,💁🏾,💁🏻,💁🏼,💁🏽,💁🏾,💁🏿
